"","Week","date","DateYYMMDD","Month","MonthN","Year","Season","Group","IntPhase","Delay1","Delay2","Location","Income","Community","HouseID","UniqueID","daystrapping","Placement","Indoor","Outdoor","AEAfemale","AWND","PRCP","TAVG","TMAX","TMIN","Cov200m","200mHouses","CovRate200","Participation"
"27",30,2017-07-25,170725,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M5-Chapa","MCH01","MCH01IN170725",7,"IN",1,0,0,"2.9",0,30,37.2,22.8,0,0,0,0.86
"28",30,2017-07-25,170725,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M5-Chapa","MCH01","MCH01OUT170725",7,"OUT",0,1,2,"2.9",0,30,37.2,22.8,0,0,0,0.86
"29",30,2017-07-25,170725,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M5-Chapa","MCH03","MCH03IN170725",7,"IN",1,0,0,"2.9",0,30,37.2,22.8,0,0,0,0.86
"30",30,2017-07-25,170725,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M5-Chapa","MCH03","MCH03OUT170725",7,"OUT",0,1,2,"2.9",0,30,37.2,22.8,0,0,0,0.86
"31",30,2017-07-25,170725,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M5-Chapa","MCH04","MCH04IN170725",7,"IN",1,0,0,"2.9",0,30,37.2,22.8,0,0,0,0.86
"32",30,2017-07-25,170725,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M5-Chapa","MCH04","MCH04OUT170725",7,"OUT",0,1,7,"5.0999999999999899",0,30.55,37.8,23.3,0,0,0,0.86
"33",30,2017-07-25,170725,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M5-Chapa","MCH05","MCH05IN170725",7,"IN",1,0,0,"5.0999999999999899",0,30.55,37.8,23.3,0,0,0,0.86
"34",30,2017-07-25,170725,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M5-Chapa","MCH05","MCH05OUT170725",7,"OUT",0,1,2,"5.0999999999999899",0,30.55,37.8,23.3,0,0,0,0.86
"35",30,2017-07-25,170725,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Mercedes","Middle","M6-Rio Rico","MRR02","MRR02IN170725",7,"IN",1,0,0,"5.0999999999999899",0,30.55,37.8,23.3,0,0,0,0.65
"36",30,2017-07-25,170725,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Mercedes","Middle","M6-Rio Rico","MRR02","MRR02OUT170725",7,"OUT",0,1,1,"5.0999999999999899",0,30.55,37.8,23.3,0,0,0,0.65
"37",30,2017-07-25,170725,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Mercedes","Middle","M6-Rio Rico","MRR03","MRR03IN170725",7,"IN",1,0,0,"5.0999999999999899",0,30.55,37.8,23.3,0,0,0,0.65
"38",30,2017-07-25,170725,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Mercedes","Middle","M6-Rio Rico","MRR03","MRR03OUT170725",7,"OUT",0,1,4,"5.0999999999999899",0,30.55,37.8,23.3,0,0,0,0.65
"39",30,2017-07-25,170725,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Mercedes","Middle","M6-Rio Rico","MRR05","MRR05IN170725",7,"IN",1,0,0,"5.0999999999999899",0,30.55,37.8,23.3,0,0,0,0.65
"40",30,2017-07-25,170725,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Mercedes","Middle","M6-Rio Rico","MRR05","MRR05OUT170725",7,"OUT",0,1,1,"5.0999999999999899",0,30.55,37.8,23.3,0,0,0,0.65
"41",30,2017-07-25,170725,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M13-Mesquite","MM01","MM01IN170725",14,"IN",1,0,0,"5.6",0,33.35,40.6,26.1,0,0,0,0.81
"42",30,2017-07-25,170725,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M13-Mesquite","MM01","MM01OUT170725",14,"OUT",0,1,13,"5.6",0,33.35,40.6,26.1,0,0,0,0.81
"43",30,2017-07-26,170726,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF04","DF04IN170726",6,"IN",1,0,1,"2.5",0,12.5,18.3,6.7,0,0,0,0.55
"44",30,2017-07-26,170726,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF04","DF04OUT170726",6,"OUT",0,1,7,"2.5",0,12.5,18.3,6.7,0,0,0,0.55
"45",30,2017-07-26,170726,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF07","DF07IN170726",6,"IN",1,0,1,"2.5",0,12.5,18.3,6.7,0,0,0,0.55
"46",30,2017-07-26,170726,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF07","DF07OUT170726",6,"OUT",0,1,3,"1.7",0,16.65,23.9,9.4,0,0,0,0.55
"47",30,2017-07-26,170726,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF10","DF10IN170726",6,"IN",1,0,0,"1.7",0,16.65,23.9,9.4,0,0,0,0.55
"48",30,2017-07-26,170726,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF10","DF10OUT170726",6,"OUT",0,1,13,"1.7",0,16.65,23.9,9.4,0,0,0,0.55
"49",30,2017-07-26,170726,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","McAllen","Middle","M4-La Vista","MLV01","MLV01IN170726",7,"IN",1,0,0,"5.0999999999999899",0,30.55,37.8,23.3,0,0,0,0.69
"50",30,2017-07-26,170726,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","McAllen","Middle","M4-La Vista","MLV01","MLV01OUT170726",7,"OUT",0,1,0,"5.4",0,31.35,38.3,24.4,0,0,0,0.69
"51",30,2017-07-26,170726,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","McAllen","Middle","M4-La Vista","MLV08","MLV08IN170726",14,"IN",1,0,0,"5.6",0,33.35,40.6,26.1,0,0,0,0.69
"52",30,2017-07-26,170726,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","McAllen","Middle","M4-La Vista","MLV08","MLV08OUT170726",14,"OUT",0,1,3,"5.6",0,33.35,40.6,26.1,0,0,0,0.69
"53",30,2017-07-26,170726,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF02","DF02IN170726",20,"IN",1,0,0,"2.6",0.3,23.9,28.9,18.9,0,0,0,0.55
"54",30,2017-07-26,170726,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Donna","Low","D1-Balli","DF02","DF02OUT170726",20,"OUT",0,1,8,"2.6",0.3,23.9,28.9,18.9,0,0,0,0.55
"55",30,2017-07-26,170726,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","McAllen","Middle","M4-La Vista","MLV02","MLV02IN170726",23,"IN",1,0,0,"2.1",0,14.7,25,4.4,0,0,0,0.69
"56",30,2017-07-26,170726,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","McAllen","Middle","M4-La Vista","MLV02","MLV02OUT170726",23,"OUT",0,1,7,"2.1",0,14.7,25,4.4,0,0,0,0.69
"57",30,2017-07-27,170727,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M5-Chapa","MCH02","MCH02IN170727",9,"IN",1,0,0,"7.9",0,25.85,32.8,18.9,0,0,0,0.86
"58",30,2017-07-27,170727,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M5-Chapa","MCH02","MCH02OUT170727",9,"OUT",0,1,2,"7.9",0,25.85,32.8,18.9,0,0,0,0.86
"59",30,2017-07-27,170727,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Progreso","Low","P2-Cameron","PF04","PF04IN170727",14,"IN",1,0,0,"5.6",0,33.35,40.6,26.1,0,0,0,0.47
"60",30,2017-07-27,170727,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Progreso","Low","P2-Cameron","PF04","PF04OUT170727",14,"OUT",0,1,1,"6.6",0,34.2,40.6,27.8,0,0,0,0.47
"61",30,2017-07-27,170727,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Progreso","Low","P2-Cameron","PF06","PF06IN170727",14,"IN",1,0,2,"6.6",0,34.2,40.6,27.8,0,0,0,0.47
"62",30,2017-07-27,170727,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Progreso","Low","P2-Cameron","PF06","PF06OUT170727",14,"OUT",0,1,2,"6.6",0,34.2,40.6,27.8,0,0,0,0.47
"63",30,2017-07-27,170727,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Progreso","Low","P2-Cameron","PF08","PF08IN170727",14,"IN",1,0,0,"6.6",0,34.2,40.6,27.8,0,0,0,0.47
"64",30,2017-07-27,170727,"July",7,"2017","Warm","GR1","Pre","Pre","Pre","Progreso","Low","P2-Cameron","PF08","PF08OUT170727",14,"OUT",0,1,0,"6.6",0,34.2,40.6,27.8,0,0,0,0.47
"65",31,2017-07-31,170731,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M13-Mesquite","MM01","MM01IN170731",6,"IN",1,0,0,"1.7",0,16.65,23.9,9.4,0,0,0,0.81
"66",31,2017-07-31,170731,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M13-Mesquite","MM01","MM01OUT170731",6,"OUT",0,1,5,"1.7",0,16.65,23.9,9.4,0,0,0,0.81
"67",31,2017-07-31,170731,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","La Feria","Middle","LF10-La Bonita","LFLB03","LFLB03IN170731",7,"IN",1,0,0,"5.4",0,31.35,38.3,24.4,0,0,0,0.63
"68",31,2017-07-31,170731,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","La Feria","Middle","LF10-La Bonita","LFLB03","LFLB03OUT170731",7,"OUT",0,1,13,"5.4",0,31.35,38.3,24.4,0,0,0,0.63
"69",31,2017-07-31,170731,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","La Feria","Middle","LF10-La Bonita","LFLB04","LFLB04IN170731",7,"IN",1,0,0,"5.4",0,31.35,38.3,24.4,0,0,0,0.63
"70",31,2017-07-31,170731,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","La Feria","Middle","LF10-La Bonita","LFLB04","LFLB04OUT170731",7,"OUT",0,1,4,"5.4",0,31.35,38.3,24.4,0,0,0,0.63
"71",31,2017-07-31,170731,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","La Feria","Middle","LF10-La Bonita","LFLB06","LFLB06IN170731",7,"IN",1,0,0,"5.4",0,31.35,38.3,24.4,0,0,0,0.63
"72",31,2017-07-31,170731,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","La Feria","Middle","LF10-La Bonita","LFLB06","LFLB06OUT170731",7,"OUT",0,1,8,"5.4",0,31.35,38.3,24.4,0,0,0,0.63
"73",31,2017-07-31,170731,"July",7,"2017","Warm","GR2","Pre","Pre","Pre","Mercedes","Low","M13-Mesquite","MM02","MM02IN170731",7,"IN",1,0,1,"5.4",0,31.35,38.3,24.4,0,0,0,0.81
